                  fc  |                root  |Forward Carriage (FC) detector envelope to hold the torus magnet and the FC detectors  |                                  0*mm 0.0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 88aa88   |            Polycone  |0.0*deg 360*deg 8*counts 2575*mm 2000*mm 132*mm 132*mm 61.5*mm 61.5*mm 197*mm 197*mm 2575*mm 3500*mm 4800*mm 5000*mm 5000*mm 5000*mm 5000*mm 5000*mm 1206*mm 1556*mm 2406*mm 2753.7*mm 2753.7*mm 4912.3*mm 4912.3*mm 8500*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
      Window_20_n333  |      PMTRow_20_n333  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_20_n333  |      PMTRow_20_n333  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_20_n334  |                  fc  |             PMT mother volume  |        -140.121578*cm -55.650000*cm 650.300823*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_20_n334  |      PMTRow_20_n334  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_20_n335  |                  fc  |             PMT mother volume  |        -140.121578*cm -60.950000*cm 650.300823*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_20_n335  |      PMTRow_20_n335  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_20_n336  |                  fc  |             PMT mother volume  |        -140.121578*cm -66.250000*cm 650.300823*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_20_n336  |      PMTRow_20_n336  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n337  |                  fc  |             PMT mother volume  |         -144.925010*cm 68.900000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n337  |      PMTRow_21_n337  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n338  |                  fc  |             PMT mother volume  |         -144.925010*cm 63.600000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n338  |      PMTRow_21_n338  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n339  |                  fc  |             PMT mother volume  |         -144.925010*cm 58.300000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n339  |      PMTRow_21_n339  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n340  |                  fc  |             PMT mother volume  |         -144.925010*cm 53.000000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n340  |      PMTRow_21_n340  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n341  |                  fc  |             PMT mother volume  |         -144.925010*cm 47.700000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n341  |      PMTRow_21_n341  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n342  |                  fc  |             PMT mother volume  |         -144.925010*cm 42.400000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n342  |      PMTRow_21_n342  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n343  |                  fc  |             PMT mother volume  |         -144.925010*cm 37.100000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlLeft_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlRight_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Socket_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      Window_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_21_n343  |      PMTRow_21_n343  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      PMTRow_21_n344  |                  fc  |             PMT mother volume  |         -144.925010*cm 31.800000*cm 648.060946*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlTop_21_n344  |      PMTRow_21_n344  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlBottom_21_n344  |      PMTRow_21_n344  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
