     AlBottom_0_n6 | PMTRow_0_n6 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
       Window_0_n6 | PMTRow_0_n6 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
 Photocathode_0_n6 | PMTRow_0_n6 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
       Socket_0_n6 | PMTRow_0_n6 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
       PMTRow_1_n7 |       fc | -48.856384*cm 15.900000*cm 692.858482*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
       AlLeft_1_n7 | PMTRow_1_n7 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
      AlRight_1_n7 | PMTRow_1_n7 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
        AlTop_1_n7 | PMTRow_1_n7 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
     AlBottom_1_n7 | PMTRow_1_n7 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
       Window_1_n7 | PMTRow_1_n7 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
 Photocathode_1_n7 | PMTRow_1_n7 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
       Socket_1_n7 | PMTRow_1_n7 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
       PMTRow_1_n8 |       fc | -48.856384*cm 10.600000*cm 692.858482*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
       AlLeft_1_n8 | PMTRow_1_n8 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
      AlRight_1_n8 | PMTRow_1_n8 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
        AlTop_1_n8 | PMTRow_1_n8 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
     AlBottom_1_n8 | PMTRow_1_n8 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
       Window_1_n8 | PMTRow_1_n8 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
 Photocathode_1_n8 | PMTRow_1_n8 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
       Socket_1_n8 | PMTRow_1_n8 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
       PMTRow_1_n9 |       fc | -48.856384*cm 5.300000*cm 692.858482*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
       AlLeft_1_n9 | PMTRow_1_n9 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
      AlRight_1_n9 | PMTRow_1_n9 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
        AlTop_1_n9 | PMTRow_1_n9 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
     AlBottom_1_n9 | PMTRow_1_n9 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
       Window_1_n9 | PMTRow_1_n9 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
 Photocathode_1_n9 | PMTRow_1_n9 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
       Socket_1_n9 | PMTRow_1_n9 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
      PMTRow_1_n10 |       fc | -48.856384*cm 0.000000*cm 692.858482*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
      AlLeft_1_n10 | PMTRow_1_n10 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
